score;txt
1;E muito desordenado comprei três produtos mais não veio no dia sertões veio separado e em data separada
1;, muito ruim !
1;Passou dos dias previstos.
1;Produto não recomendo não ler em nenhum dispositivo
1;Tentando cancelar o produto desde antes da emissão da nota fiscal. Não fui avisada que estava no correio, não tive nenhuma resposta do cancelamento e nao consigo devolver.
1;Boa Noite
1;Última vez que compro pois hoje vai fazer 1 mês que fiz a comprar e nada, e se demorar mas tempo de entregar estarei procurando meus direitos contra as lojas lannister e a targaryen.
1;Não gostei do produto, material de péssima qualidade.
1;Dos dois produtos comprados, foi entregue apenas um!
1;Nao compro mais na lannister. Se é parceiro da lannister ou não essa targaryen jamais uso novamente. Quando eu ler que é dessa empresa saio correndo. Um absurdo. Quase um mês para entregar. Extra.com ok
1;Nem fizeram a nota fiscal
1;O MP3 player não funciona, mesmo trocando a pilha diversas vezes. Tive que devolver.
1;A targaryen não é de confiança não entregou a minha compra e colocou no rastreamento do pedido que foi entregue no dia 14/12/17 empresa falsa quero receber meus produtos que foram pagos com boleto bancari
1;"\"Quando instalei o cartucho de tinta, a minha impressora indicou que o mesmo estava vazio, e apresentou a mensagem de erro \"\"!\"\" em cima do marcador de nível da tinta. Já solicitei a troca. \""
1;Não foram entregue as duas capas de couro compradas. Apenas uma delas. Aguardo a devolução do dinheiro ou a entrega da segunda capa.
1;No dia 19 de maio usei e a à alça quebrou sem muito peso
1;Comprei um produto e veio outro.
1;o produto demora muita para chegar !
1;Somente foi entregue uma unidade, ao invés de duas.
1;Ainda não recebi
1;Até agora nao recebi.Comprei este aparelho por questao de saude,portanto nao recomendo esta loja.
1;Gostaria de saber quando chegará meu produto?
1;O produto entregue difere do pedido
1;Não recebi o produto, assim como nenhum contato por parte do .vendedor
1;Nem ratrear estou conseguindo:(
1;veio conforme o pedido mais o pós venda não respondeu nenhuma das minhas perguntas
1;Comprei duas mochilas, recebi apenas uma, o natal está chegando e até agora nada!
1;Os pincéis vieram amassados, não condiz com algumas fotos, mas condiz com a descrição. São fracos, não cabem na case e um veio descolado
1;O produto veio diferente da q mostra na foto, não é de luxo, nem acolchoado como dizia.
1;Estou aguardando uma resposta até hoje, sobre os meus produtos, já foram pagos e ainda NÃO os recebi, foram 03 iguais e necessito falar com pessoas e NÃO máquina ou gravações.
1;Gostaria de receber os produtos corretos, tentei realizar a troca pela devolução de dinheiro no cartão, mas o site da lannister não possibilita que seja realizado.
1;meu produto veio com defeito,devolvi conforme informado.postado no correio conforme indicado.e até hoje não recebi nenhuma notificação da empresa quanto a devolução e análise para ter meuressarcimento
1;Só recebemos 1 cartucho já abrimos reclamação no site e ainda não obtive resposta.
1;O tampo da mesa chegou todo amassado e batido.
1;Até o momento eu n recebir o produto
1;Muito bom o produto e preço cobrado!
1;No aguardo de um retorno urgente.
1;Produto mais que passou do prazo de entregar, tento resolver o problema com a empresa e não consigo falar com ninguém. Tudo que fazem é me passar para reclamar num sistema que não funciona.
1;Deram um prazo muito grande para a entrega do produto e não conseguiram entregar no prazo
1;Não recebi o produto.e agora?
1;comprei tapete de borracha para tr4 mitsubishi a loja entregou um tapete de pvc horrivel
1;MEU PRODUTO AINDA NÃO FOI ENTREGUE, JÁ FIZ MINHA RECLAMAÇÃO E ATÉ AGORA NÃO TIVE NENHUMA PREVISÃO DE ENTREGA. ESTOU SUPER INSATISFEITO E QUERO MEU DINHEIRO DE VOLTA. FOI DENUNCIAR AO PROCON.
1;A cortina não é o modelo que pedi. |
1;Comprei Rosa com Braços Brancos e entregam toda Preta ?
1;Preciso de uma previsão.
1;Recebi outra boneca, quero devolver e não consigo contato! Jamais compraria novamente dessa loja!
1;Boa noite , não gostei pois nunca conseguimos falar com vcs pelo telefone
1;Não recebi o jogo na cor tabaco. Só o vermelho.
1;Nao foi entregue na minha casa , por isso nao gostei , nao tenho tempo de esta indo nos correios..
1;O produto veio estragado
1;Minha mercadoria não foi entregue , já paguei a primeira fatura quero cancelar a compra pois paguei o frete e não recebi a mercadoria.
1;PRODUTO JA CHEGOU COM DEFEITO NÃO FUCIONOU CONFORME MINHA NECESSIDADE DE USO. INFELIZMENTE ULTIMA COMPRA MINHA TOTALMENTE INSATISFEITO.
1;COMPREI DOIS PENDENTES SÓ CHEGOU UM. PRECISO SABER O QUE FOI QUE HOUVE?
1;Produto veio com amassados e também não está funcionando corretamente.
1;Estou esperando há mais de vinte dias e ainda não recebi meu produto e não consigo nenhuma informação.
1;Estou aguardando posição da empresa para fazer a devolução do produto.
1;fornecedor não enviou o produto correto. solicitei o sabor chocolate e me foi enviado outro sabor.
1;O produto ainda não chegou
1;Ainda não recebi o produto...
1;Comprei 2 produtos so mandaram 1 e n mim deram nenhuma justificativa !
1;O produto foi encaminhado para cidade de destino no dia 31/03 e até o momento não recebi.
1;Produto não foi entregue!
1;Simplesmente não recebi meu produto e nao tenho um posicionamento decente do que acontecerá.
1;Não recebi o braço de ducha com desviador, somente a ducha 20x20 com braço de 30cm.
1;O produto pode estar com mal funcionamento.
1;Loja sem vergonha. Não entregaram o pedido e tiveram a descaração de duErem que eu o cancelei. Porcaria de vendedor. stark escolheu muito mal o seu paeceiro.
1;PRODUTO NÃO VEIO CONFORME ESTAVA NO SITE .
1;Comprei dois produtos, sendo que um deles não chegou. Um cabo adaptador de áudio.
1;Fornecedor targaryen me mandou um massageador completamente diferente do que comprei, de preço inferior e cheio de avaliações negativas. Ninguém erra mandando um superior né, curioso..Ou seja, n recomendo
1;Muito ruim, não veio um produto e o outro veio errado..
1;ABRI PROTOCOLO PARA DEVOLUÇÃO, PRODUTO DE BAIXA QUALIDADE DEU PROBLEMA NO PRIMEIRO DIA DE USO.
1;A mercadoria não foi entregue ainda..
1;Eu pedi q cancelacem antes da nf ser emitida pq eu havia ganhado de presente um igual... não cancelaram... mandaram assim msm... eu pedi quando a nf ainda não tinha sido emitida
1;preciso urgente desta mercadoria, o prazo maximo era até o dia 3 e até agora não chegou
1;Produto com defeito apresenta risco por não ser confiável, já eviei e-mail e efetuei ligações e sem retorno.
1;a descrição do produto estava errada e não consegui usar o produto ,pedi o cancelamento fazem 15 dias e ainda não obtive resposta
1;Sem pontualidade não da satisfação ao cliente.
1;meu mosquiteiro veio com dois furos na parte superior e pedir um mosquiteiro King porem nao veio Kiung e sim QUEEM
1;me foi enviado o produto errado!
1;Efetuei a compra e pagamento de duas unidades e recebi apenas uma unidade. Aguardando tratativa.
1;Ainda não recebi
1;Não foi entregue, a primeira vez que acontece isso.
1;Comprei 2 unidades do produto, veio avariado visto que a embalagem é muito fraca, sendo que veio com dois buracos no fundo da panela, devido a pressão que dog colocado em cima dele.
1;Pedido foi cancelado e mesmo assim a loja enviou o produto. Devolvi o produto e quero o estorno da compra em meu cartão de crédito.
1;COMPREI UM JOGO DE PANELAS COM 8 PANELAS E UMA PANELA DE PRESSÃO VERMELHO E PANELAS DO TIPO OVAL. RECEBI UM JOGO COM 6 PANELAS E JOGO DE ESPÁTULAS PRETOS. COISA QUE NÃO PEDI. VEIO APENAS UMA FRIDEIRA.
1;Não gostei da qualidade do enchimento das almofadas
1;Quero saber dos demais produtos eram 3 itens
1;Não posso dar opinião sobre produto pois não recebi, sobre a loja eu não recomendo, pois atrasa as entregas.
1;Não recebi o produto
1;Boa tarde!
1;ENTREGA MUITO DEMORADA, COMPREI EM 26/03/2018 E ATÉ AGORA NÃO RECEBI OS PRODUTOS
1;O produto enteque veio Errado
1;NÃO RECEBI O PRODUTO, O PRODUTO CONSTA COMO ENVIADO PARA O CORREIO DE RIBEIRÃO PRETO. O CORREIO NÃO RECEBEU O PRODUTO. ENVIE VARIAS MENSAGEM PARA A targaryen E NÃO OBTIVE. ESTA targaryen ESTA SUJANDO SEU NOME
1;Recebi apenas 1 detector de metal e a compra foram de 2 unidades. Como podemos resolver isso?
1;Comprei dois pares de aliança e chegou apenas duas unidades masculinas em minha casa!
1;Eu recebi desta loja apenas dois pendentes. Paguei o boleto antecipado e um produto não veio: Trata-se de um Pendente Em Alumínio Meia Bola Medio Escovado no valor de R$ 90 . Quero $ de volta.
1;Vcs tá deixando a desejar comprei produtos com vcs e vcs demora entregar e ainda cancela o pedido sem autorização
1;Prazo esgotado. Produto ainda não entregue
1;Recebi apenas 1 perfume (perfume H2O). O perfume Ototemo NÃO recebi ainda. Estou preocupada pois no pedido consta que recebi dois perfumes!!!
1;O produto chegou bem antes do prazo, mas com defeito, veio quebrado o lugar de fazer o encaixar. Muito bonitinha, mas frágil. Tentei realizar a troca pelo site e não consegui.
1;ainda nao recebi e a ultima informacao sobre p produto e do dia 08/12/2017.
1;O película de vidro veio com defeito e não estou conseguindo resolver o problema.
1;O PRODUTO É BOM, MAS QUASE 2 MESES PARA RECEBER !!!!
1;Só veio uma capa comprei 3 aí paguei. Mais de 100 reais por uma capa
1;Não é original, infelizmente o pós vendas da stark é extremamente ruim, pois já entrei em contato e até agora nada, aí consegui ligar para o fornecedor parceiro que já devolveu o dinheiro.
1;Já entrei em contato com a lannister pelo telefone e eles me falam q vai mandar o link direto com o parceiro pra eu saber detalhes da entrega da conta e esse link n veio. Péssimo suporte ao cliente
1;Não recebi o produto não recebi uma justificativa do vendedor. entrei em contato mas até agora não obtive uma resposta.
1;Ainda não recebi minha capa de sofá tô aguardando
1;Ainda não recebi o produto... varios dias que fiz a compra. entrega demorada pelas compras que faço online, ainda estou aguardando a entrega
1;Infelizmente compensa pagar um pouco mais e comprar em loja física na sua cidade todas as lojas inclusive stark estão com péssimo prazo de entrega dos produtos!
1;Já solicitei devolução do produto. Veio amassado, parece que houve uma queda
1;Não recebi o produto que comprei e paguei.
1;O mp3 player é muito bonito e pequeno. Contudo, o som dele é muito ruim, com ruídos e chiados. Troquei o fone de ouvido pelo da apple, mas não mudou nada. O problema é na qualidade do produto mesmo.
1;Ainda não recebi. Como faço?
1;Recebi o produto errado. Comprei original e recebi produtos paralelos. Reciclados. Picareta
1;Comprei duas bonecas baby kiss Sid nil dia 07/12/17 e eles entregaram somente 1 boneca ,não veio junto nota fiscal,caixa amassada e também não consigo contato com a lannister o telefone só da ocupado
1;Não posso avaliar o que não recebi
1;Veio quebrado e faltando peça
1;Mudarei a avaliação se tudo der certo .
1;Relógio que comprei foi uma replica do original.
1;Produto veio diferente ao anuncuado. Liguei e só esperando o código para a devolução do produto e reembolso do valor pago.
1;"Falta de respeito com consumidor; produto mal embalado, vidros sem lacre vazando; náo recebi autorização de devolução, mesmo tendo reclamado no dia da entrega; o pior, terei que levar ao correio"
1;não fiquei satisfeito com o material do produto
1;Ate agora nao revebi o produto.
1;Me venderam um produto que não tinham para entregar
1;O botão para abrir o carro não está funcionando.
1;Tá demorando mt
1;ROUBO! Na nota fiscal são 2 unidades mas no embrulho vem apenas UMA.
1;NAO ENVIOU O MEU PEDIDO
1;No site da lannister a data de entrega seria 04/01, mas no código de rastreio o produto foi postado no correio no dia 04/01, ou seja, o produto ainda está em trânsito no dia de hoje 06/01.
1;quero o meu produto
1;Entregaram os produtos, mas, Não cumpriram o prazo de entrega passou do prazo.
1;Minha compra veio pela metade , comprei uma capinha de celular e uma película de vidro somente veio a capinha a película não veio
1;Demora, produto nao entregue!
1;Dois dias após o prazo, um mês após a compra e nada do produto chegar!! Frete caro e ineficiente!!
1;Recebi o produto com cx aberta , sem lacre, sem nota fiscal, sem pedido de compra e com remetente diferente do anuncio. Quero devolucao do dinheiro. Descontentamento
1;Recebi uma escova de outra marca.
1;O pedido não foi feito no dia 03/7, como consta neste formulário.
1;Gente ainda não recebi minha encomenda. Como fasso pra vocês enviarem de novo
1;Recebi produto errado à uma semana. Aceitei mas o valor do produto entregue é menor. Pedi reembolso mas até agora nada, faz 9 dias já
1;Produto não foi entregue, entregaram somente um envelope vazio, sem nada, nem um papel dentro, um absurdo, puro golpe, caso de POLICIA.
1;Recebi metade do material.
1;O produto não foi entregue na minha casa
1;O tecido não era oq eu esperava, parece uma borracha, igual aos plásticos q forravamos as mesas em tempo do colégio. Abri apenas uma e a outra nem abri, por favor me façam a troca deste priduto
1;O tamanho é pequeno e percebi depois que no anúncio não dá destaque as dimensões do produto. Deixa a desejar
1;To esperando até agora nunca recebi nenhum relógio eu comprei não recomendado essa loja
1;ESPERO NUNCA MAIS COMPRAR E TER QUE RESPONDER ESSE TIPO DE AVALIAÇÃO
1;Comprei com a voltagem 220 e veio 110v
1;Produto mal feito, torto, com as soldas mal feitas.
1;"\""
1;no site dizia que chegaria até 13/03 e ainda não chegou!
1;Não realiza o que promete, depois de instalado fica vazando pelo cartucho, mesmo seguindo as instruções, não vale a pena, dinheiro jogado fora.
1;AINDA NAO RECEBI MINHA MAQUINA DE SOLDA
1;Sempre comprei e não tiver problema, porém dessa vem sim meus produtos não chegou até agora
1;Data prevista para entrega 17/5, estamos com urgência desse produto e nada.
1;Não recebi até agora a mercadoria.
1;preciso receber esse produto , deve ter sido entregue a outra pessoa
1;Não cumpriu o prazo de entrega. Já se passaram dois dias do combinado.
1;. O produto nao vem na embalagem origiaal e simplismente foi colocado uma gota de uma base qualquer em um tubinho de plastico que nao é a original simplesmente anuncio verdadeiramente enganacao.
1;A compra foi feita em 30/06/17 e previsão de entrega era 13/07/17. Estamos no dia 17/07/17 e até agora nada.
1;Minha avaliação ta sendo esta pq aqui aparece q recebi o produto e ainda não chegou em casa.Por favor, queria saber o q está acontecendo ???
1;Material inferior ao que demonstrava na imagem.
1;Comprei uma coisa e me entregaram outra e não consigo fazer a troca e não consigo falar com a central !
1;Mais de mês que comprei e não tive nenhum retorno.
1;A tampa ficou pequena e não cobriu todo o cooktoop
1;A
1;Produto na propaganda e um do que chegou e outro
1;Cartucho HP 60 colorido não funciona, impressora não reconhece como HP. Solicito instruções para devolução do produto e do dinheiro já pago..No Reclame Aqui tem varias queixas de produtos da targaryen .
1;Não recebi o produto e por isso sem condições de avaliação.
1;Não foi entregue a chupeta, veio apenas o Esterilizador a Vapor para Microondas - Philips Avent.
1;Indo para 2 meses da compra e até agora nada do produto. Simplesmente péssimo, não recomendo.
1;o cabo não funcionou em nenhum dos meus dispositivos mesmo confirmando a compatibilidae
1;comprei três cabos USB,macho e femea,cada um com 5m. Dois vieram com defeitos ,o windows não o reconhece.
1;o produto nao poder ser avaliado ainda nao recebi
1;Comprei 4 produtos, sendo que só recebi 3. Faltou um lençol branco sem elástico. Foi quase R$ 100,00. E como eu fico? No prejuizo?
1;estou aguardando posicionamento da loja sobre a entrega
1;O produto comprado foi Mbp-662 o fornecido foi MPB33S
1;O produto que eu comprei não foi entregue, já reclamei e ainda não obtive resposta.
1;Produto péssimo. Com emblema de ponta-cabeça (invertido) e contém avaria. Já fiz contato com a loja através do e-mail e ninguém respondeu.
1;Quando fui comprar o produto, dizia que havia em estoque.
1;Comprei o Iso X e recebi o Nitro Hard
1;Não recebi o produto é a loja não respondeu nenhuma das minhas reclamações ou duvidas.
1;preço bom, entrega no prazo
1;Tentei obter uma resposta sobre o atraso de meu pedido diretamente com o fornecedor e não obtive resposta. Precisei entrar em contato com a lannister para intrrmediar isso.
1;Comprei uma pelúcia do Creeper Minecraft e a qualidade é de loja de 1,99. Quando se liga para o SAC não se consegue falar com ninguém.
1;Comprei 6 cartuchos, recebi apenas 4 unidades após o prazo de entrega, e ate hoje estou tentando entrar em contato para uma solução, mas sem sucesso.
1;Não recebi até hoje o produto depois de mais de 2 meses da compra
1;Falta de respeito resumi meus sentimentos em relação a vcs
1;Simplesmente não recebi o produto
1;Comprei dois pendentes,Quando fui fazer a retirada nos Correios só tinha um. Estou aguardado uma posição da empresa.
1;Produto está até hoje na unidade do correio em Cajamar e não chegou em minha casa. Estraviou?
1;Produto não foi entregue
1;Falta receber o protetor de porta e os jogos de cama de solteiro
1;Não veio o produto correto que solicitei
1;Recebi produto diferente do que comprei.
1;Meu produtos veio errado
1;Produto incompleto
1;Minha encomenda chegou antes do prazo estipulado ,porém o produto veio em desacordo com o pedido ,ao invés de vir um cartucho pg 145 preto e um cartuchu pg 146 color ,vieram os doi pg 145 preto . E ag
1;Já solicitei a troca porém até o momento nada. Enviaram o produto errado e agora informam que a troca não pode ser feita.
1;Comprei, esperei, esperei e até agora nada.
1;Eu comprei um celular smartphone , não chegou não recomendo comprar nesta loja targaryen e lannister porque não chegou meu produto. Eu comprei está data,07/06/2017. Era pra chegar no dia .05/07/2017.
1;O problema não é com a loja mais sim com o produto tem que deixar carregando o dia inteiro pra ouvir meia hora de música e não funciona enquanto carrega desliga sozinho.
1;produto em atraso.
1;O relógio está com defeito onde efetuo a troca do mesmo ou seu reparo.
1;Até o momento não recebi .
1;Paguei e ainda não recebi e com toda certeza não receberei. Um simples controle remoto. Péssimo serviço. Loja não recomendada. Paguei à vista. A data de compra foi 13/12.
1;A colcha que eu comprei vinha com 03 peças, e essa só veio 02 peças , 01 colcha ,e 01 porta travesseiro!então no caso ficou faltando o porta travesseiro!então eu aguardo uma resposta do vendedor
1;Não entregaram no prazo, já tá com mais de 30 dias, uma mísera tesoura. Eu tive que comprar uma por aqui. Pq a empresa não se comprometeu nem de manda uma email pra me tranquilizar.
1;MUITO MAU ACABADO NÃO RECOMENDO
1;Me entregaram um tapete errado. Estou aguardando providencias
1;O produto não foi entregue, porém no site dos correios consta que foi entregue. Estou aguardando resposta.
1;PRODUTO NÃO ENTREGUE COM MUITO ATRASO E SEM PREVISÃO!!!!!
1;O produto chegou no prazo e intacto, porém não funciona.Coloquei o aspirador de carro com tomada para o ascendedor de cigarros no aparelho já conectado na tomada e nada, não funciona.embora 12v
1;Foi a segunda vez que tentei comprar com essa loja e o pedido não foi entregue no prazo.
1;A nota fiscal foi emitida no dia que deram de prazo para entrega. Até agora o produto não chegou!
1;muito obrigado
1;Estou muito chateada n foi entregue e eles não deram nem uma satisfação falta de respeito comigo.Minha filha está indo p a escola sem mochila.
1;Comprei toalhas Karsten e recebi um jogo de tolhas de pessima qualidade, preciso devolver esta mercadoria.
1;Produto não é o mesmo mostrado, o fone não é auricular e tem cerca de 30cm, a embalagem veio danificada, rachada e faltando pedaço, o vendedor não retorna o pedido de devolução e ressarcimento.
1;Estou com problemas de pedido. O parceiro não responde, envia pedido errado e não retorna.
1;ainda nao recebi o produto
1;"a quase um mês foi feito o pedido do relógio e pago via boleem se quer to e até agora nada. Mandei dois emails e nem se quer me deram satisfação; LOJAS OSLIT PRA MIM TA FORA. lannister SEM PRESTIGI"
1;Meu produto não chegou até hoje, e preciso dele para sábado, sem falta. Ou seja, a entrega precisa ser feita até sexta feira, dia 27/10/2017.
1;Uma das peças que comprei não veio,veio a caixinha vazia,mas a outra veio certo.
1;Comprei e paguei o produto ha mais de 20 dias e ainda não recebi o mesmo.
1;Cancelaram minha compra
1;Comprei um relogio, veio outro, mandei msgs, ninguém responde, ninguém retorna! Vendi pra uma amiga pra não perder meu dinheiro!! Não compreeem!! Mandam errado e não respondem os clientes!
1;Nunca vi demorar tanto pra entrega pela internet primeira vez
1;ja faz um mes que fiz meu oedido um conjunto de potes de cozinha de aluminio(5) branco de bolas pretasme ate agora não recebi.quero saber qual a providençia que essa empresa ira tomar
1;Sinceramente comprei uma navalha e um kit tesouras fio navalha da marcar o lista e veio errado o rastreamento do produto indica que veio o kit de tesouras e ao invés venho a navalha queria uma explica
1;O produto oferecido no anúncio é um, mas o que foi entregue se difere de forma que altera seu funcionamento.
1;Ainda não recebi o produto nem nenhuma orientação sobre o que fazer da loja
1;Ainda estou aguardando o produto.
1;O produto não foi entregue, tento falar com a empresa lannister e targaryene e só da instabilidade de página! Nem mesmo consigo cancelar minha compra! Total desrespeito com o cliente!
1;Comprei um tapete de 2X2.5 e recebi um de 2X1.5. Nas lannister não há a opcao de troca do produto errado, só ressarcir no cartão ou trocar por vale. No site havia ainda anúncio do que comprei.
1;Ainda não recebi meu produto
1;como posso avaliar o produto? só posso avaliar o tempo de entrega que por sinal está atrasado.
1;Um prazo enorme e não entregam
1;produto inferior ao esperado.
1;Fiz o pedido em 30-04-2018 e paguei no mesmo dia o valor do produto. É até hoje 09-06-2018 (mais de um mês) não chegou o produto em minha residência. Vou ter que acionar o órgão competente.
1;não veio na cor q eu fiz a compra
1;Quero cancelar este pedido
1;Até o momento não recebi minha encomenda,sem confiança.
1;Não posso avaliar, não sei oque houve !
1;Já passou o prazo de entrega e ainda não recebi o produto.
1;Comprei há muito tempo já! Comprei dois ao mesmo tempo, sei lá porque eles enviaram os dois filtros separados. Chegou apenas um, o outro não chegou até hoje e ainda não obtive nenhuma resposta da loja
1;COmprei 15x13 e me mandaram 13x18. Inútil pra mim, usei a ferramenta do stark pra entrar em contato e até agora ninguém me respondeu.
1;Produto não funciona aparentemente o produto não é original.
1;ruin
1;este produto que eu comprei, é uma propaganda enganoza, pois o suporte não suporta o peso do cellular.
1;Nem a nota foi emitida. Cansei e solicitei ao stark o cancelamento e devolução do meu cupom de 100 reais. Recebi um cupom no valor total da com. Serei obrigado a comprar algo que não preciso. Lixo
1;O pedido, não chegou com a quantidade correta. Faltou o Suporte De Peito Cinta Peitoral Para Camera Gopro Go Pro, faltou um Adaptador Conector P2 Macho P10 Femea Estereo Microfone sendo 3.
1;já está com quase um mês que fiz o pedido e o produto ainda não chegou.
1;Até o momento não recebi o produto
1;Toner não funciona. Impressão de péssima qualidade. Quase não dá pra ver a impressão
1;Vou devolver o produto.
1;Não comprem essa película. Não cola. Veio ressecada a cola ou algo do tipo, atrapalha no touch screen.
1;O produto não foi entregue, houve a necessidade de retirar nos correios
1;Foi entregue apenas um dos itens. O segundo não foi.
1;Simplesmente horrível o produto
1;Produto não atendeu as expectativas
1;Só acho que devia enviar logo o produto eu sempre compro ,mais dessa vez meu produto ainda não chegou.
1;Produto foi entregue parcialmente
1;Recebi o produto, porém ao abrir o produto estava danificado, o pior de tudo a grande dificuldade para reclamar e após 3 dias sem nenhuma resposta.
1;Produto enviado é falaificado
1;Essa foi a pior compra da minha vida, comprei dia 11/6/17 para receber dia 05/07/17 e até hoje não recebi e ninguém me ligou para dar uma satisfação. A pior comprar da minha vida.
1;Quero meu dinheiro de volta
1;No mesmo dia que usei já encheu de bolinhas, fino demais
1;Veio totalmente errado E o material falado no site não e5 o mesmo é uma porcaria queria trocar e não consegui
1;O produto ainda não foi entregue. Já realizei compras mais recentes na lannister, porem i produto deste pedido ainda não foi entregue.
1;Eu comprei esse pendente e antes deles emitorem a NF e postarem eu cancelei pois achei outro que me agradava melhor, e mesmo assim recebi o produto. Acredito que devia ter um controle melhor.
1;O produto demorou cerca de dois meses para chegar. Além disso, o produto não contém as medidas divulgadas no anúncio. Não recomendo.
1;Produto ainda não foi entregue, mas deixo essa opinião aqui como uma observação até a expiração da data.
1;O cumprimento do prazo ocorreu, entretanto a qualidade do produto foi péssima. O produto não vem em embalagem original da Philips e apresenta diferenças entre a lamina original. O uso demonstrou-se pe
1;Comprei 2 e só veio 1. Espero uma resposta pois só esse pedido que veio errado. Aguardo o outro ah eu.
1;Produto de péssima qualidade. Além de vir errado. Pedi na cor preta e veio branca. Pedi 2,00x 2,20 e veio 2,00 x 2,60. Veio com ilhós soltos. O blackout todo.amassado. quero meu dinheiro de volta.
1;Não entregaram
1;O produto é falsificado. Não veio com manual e nem com certificado de garantia da Orient.
1;Achei o produto muito leve em relação aos modelos antigos. Ele é completamente feito em plástico, entenda-se, uma ducha corona mais potente.
1;Comprei dois pneus, paguei dois pneus, pedido efetuado e pago de dois pneus. Recebi em casa nota fiscal referente aos dois pneus, mas só um pneu dentro da embalagem.
1;O pedido foi feito duas vezes e não foi entregue.A primeira vez foi por que o número da casa estava errado, a segunda nÃo recebi justificativa.
1;Foi entregue apenas um dos produtos que eu comprei, sendo que falta mais um a ser entregue e o codigo pra rastrear diz que ja foi encerrado
1;Produto não entregue
1;Além da demora para emitir a nota fiscal, a demora para a devolução do dinheiro, em caso de cancelamento da compra, demora uma eternidade.
1;Comprei um recibie outro
1;Gostei e recomendo!!
1;não recebi meu produto e não obtive nenhuma resposta ainda
1;Estou esperando até agora a entrega do produto, a nota fiscal não foi nem faturada ainda e já faz mais de um mês a data da compra ! Estou esperando alguma informação da lannister sobre a compra.
1;Até o momento não houve o recebimento do produto
1;Deveria entregar na minha residência como no combinado na hora da compra,
1;Não gostei e não recomendo. O som é baixo e logo de início já não funcionou um dos lados do fone. Horrível
1;Produto veio com lacre violado.
1;até o presente momento não foi entregue!
1;Nao recebi o produto.
1;Pedi duas cadeiras, e veio somente uma e ainda por cima faltando peça, quero devolver.
1;no site o produto ta de uma forma e quando me enviaram enviaram na cor errada, sendo que nao tinha opções de cores, e no anuncio o produto era branco
1;Impossível avaliar sem o produto em mãos
1;Apenas não recebi o produto!!!
1;não recebi a mercadoria ainda.
1;Comprei 02 computadores, e um deles veio com defeito.
1;Não chegou
1;Não entregou o produto e não entrou em contato.
1;Recebi um produto diferente do que foi requisitado. A imagem do anúncio não condiz com o produto recebido.
1;O descrição do do produto no site .sobre o tamanho não confere com produto recebido....muito pequena .....
1;Tudo de acordo com o combinado.
1;Preciso de retorno de vcs, o pq de não ter chego o meu pedido.
1;Na minha compra realizada em 20/09/17 a loja targaryen não teve a mercadoria e até agora nem targaryen, nem stark resolveram. A mercadoria e o frete foram pagos e é o que eu acho que deve ser reembolsado.
1;Por favor, reenviar!
1;Não sei o que aconteceu ! Estou tentando entender, comprei o produto não recebi,mandei mensagem , não retornaram minha mensagem, sempre compro no site lannister e nunca tive problema com entrega.
